count,from,to,timeframe,start,end
1,antoniomaluge,sinae_oficial,1,2020-06-16 19:18:44,2020-06-17 14:47:05
2,amboro2000,elpotosinet,2,2020-06-16 19:18:50,2020-06-17 14:47:05
3,ndecano,sinae_oficial,3,2020-06-16 19:18:55,2020-06-17 14:47:05
4,televisionuy,vtvnoticiasuy,4,2020-06-16 19:19:39,2020-06-17 14:47:05
5,televisionuy,vtvuruguay,4,2020-06-16 19:19:39,2020-06-17 14:47:05
6,vivmilano,sinae_oficial,5,2020-06-16 19:21:32,2020-06-17 14:47:05
7,teresit36633444,vtvnoticiasuy,6,2020-06-16 19:21:33,2020-06-17 14:47:05
8,teresit36633444,vtvuruguay,6,2020-06-16 19:21:33,2020-06-17 14:47:05
9,verocab,meriparrado,7,2020-06-16 19:22:06,2020-06-17 14:47:05
10,verocab,carasycaretasuy,7,2020-06-16 19:22:06,2020-06-17 14:47:05
11,verocab,leagrille,7,2020-06-16 19:22:06,2020-06-17 14:47:05
12,verocab,ricardopose1,7,2020-06-16 19:22:06,2020-06-17 14:47:05
13,verocab,verocab,7,2020-06-16 19:22:06,2020-06-17 14:47:05
14,verocab,germanavilan,7,2020-06-16 19:22:06,2020-06-17 14:47:05
15,leobadonoso,sinae_oficial,8,2020-06-16 19:23:13,2020-06-17 14:47:05
16,viovica2000,sinae_oficial,9,2020-06-16 19:23:37,2020-06-17 14:47:05
17,cbaenaz,sinae_oficial,10,2020-06-16 19:24:07,2020-06-17 14:47:05
18,delesanti98,vtvnoticiasuy,11,2020-06-16 19:24:13,2020-06-17 14:47:05
19,delesanti98,vtvuruguay,11,2020-06-16 19:24:13,2020-06-17 14:47:05
20,jopeva1,verocab,12,2020-06-16 19:28:15,2020-06-17 14:47:05
21,jopeva1,germanavilan,12,2020-06-16 19:28:15,2020-06-17 14:47:05
22,jopeva1,meriparrado,12,2020-06-16 19:28:15,2020-06-17 14:47:05
23,jopeva1,carasycaretasuy,12,2020-06-16 19:28:15,2020-06-17 14:47:05
24,jopeva1,leagrille,12,2020-06-16 19:28:15,2020-06-17 14:47:05
25,jopeva1,ricardopose1,12,2020-06-16 19:28:15,2020-06-17 14:47:05
26,clapelplacer,sinae_oficial,13,2020-06-16 19:28:56,2020-06-17 14:47:05
27,grace_liamsi,ernesto_talvi,14,2020-06-16 19:30:00,2020-06-17 14:47:05
28,eldelalibreta,medeapoma,15,2020-06-16 19:33:05,2020-06-17 14:47:05
29,maiaavellana,vtvnoticiasuy,16,2020-06-16 19:34:47,2020-06-17 14:47:05
30,maiaavellana,vtvuruguay,16,2020-06-16 19:34:47,2020-06-17 14:47:05
31,oscarhaboni,sinae_oficial,17,2020-06-16 19:36:44,2020-06-17 14:47:05
32,techo,techouy,18,2020-06-16 19:36:46,2020-06-17 14:47:05
33,23alzat,sinae_oficial,19,2020-06-16 19:37:26,2020-06-17 14:47:05
34,morales_ingarth,techouy,20,2020-06-16 19:42:00,2020-06-17 14:47:05
35,sara17almada,vtvnoticiasuy,21,2020-06-16 19:42:53,2020-06-17 14:47:05
36,sara17almada,vtvuruguay,21,2020-06-16 19:42:53,2020-06-17 14:47:05
37,hugopericop5,crlitvin,22,2020-06-16 19:46:23,2020-06-17 14:47:05
38,pilicanedo,vtvnoticiasuy,23,2020-06-16 19:46:53,2020-06-17 14:47:05
39,pilicanedo,vtvuruguay,23,2020-06-16 19:46:53,2020-06-17 14:47:05
40,futbox1,1_muslera_25,24,2020-06-16 19:48:38,2020-06-17 14:47:05
41,edil_alerepetto,leocipriani20,25,2020-06-16 19:48:50,2020-06-17 14:47:05
42,edil_alerepetto,assecomunica,25,2020-06-16 19:48:50,2020-06-17 14:47:05
43,edil_alerepetto,tartagliaestefa,25,2020-06-16 19:48:50,2020-06-17 14:47:05
44,herrerismolp,leocipriani20,26,2020-06-16 19:49:10,2020-06-17 14:47:05
45,herrerismolp,assecomunica,26,2020-06-16 19:49:10,2020-06-17 14:47:05
46,herrerismolp,tartagliaestefa,26,2020-06-16 19:49:10,2020-06-17 14:47:05
47,otrocanelones,leocipriani20,27,2020-06-16 19:49:53,2020-06-17 14:47:05
48,otrocanelones,assecomunica,27,2020-06-16 19:49:53,2020-06-17 14:47:05
49,otrocanelones,tartagliaestefa,27,2020-06-16 19:49:53,2020-06-17 14:47:05
50,edilescanelones,tartagliaestefa,28,2020-06-16 19:50:40,2020-06-17 14:47:05
51,edilescanelones,leocipriani20,28,2020-06-16 19:50:40,2020-06-17 14:47:05
52,edilescanelones,assecomunica,28,2020-06-16 19:50:40,2020-06-17 14:47:05
53,elequipodeelena,leocipriani20,29,2020-06-16 19:51:09,2020-06-17 14:47:05
54,elequipodeelena,assecomunica,29,2020-06-16 19:51:09,2020-06-17 14:47:05
55,elequipodeelena,tartagliaestefa,29,2020-06-16 19:51:09,2020-06-17 14:47:05
56,nacionalistasuy,tartagliaestefa,30,2020-06-16 19:51:40,2020-06-17 14:47:05
57,nacionalistasuy,leocipriani20,30,2020-06-16 19:51:40,2020-06-17 14:47:05
58,nacionalistasuy,assecomunica,30,2020-06-16 19:51:40,2020-06-17 14:47:05
59,canelones_33,leocipriani20,31,2020-06-16 19:52:06,2020-06-17 14:47:05
60,canelones_33,assecomunica,31,2020-06-16 19:52:06,2020-06-17 14:47:05
61,canelones_33,tartagliaestefa,31,2020-06-16 19:52:06,2020-06-17 14:47:05
62,syleona,leocipriani20,32,2020-06-16 19:52:29,2020-06-17 14:47:05
63,syleona,assecomunica,32,2020-06-16 19:52:29,2020-06-17 14:47:05
64,syleona,tartagliaestefa,32,2020-06-16 19:52:29,2020-06-17 14:47:05
65,pozoscanelones,leocipriani20,33,2020-06-16 19:52:49,2020-06-17 14:47:05
66,pozoscanelones,assecomunica,33,2020-06-16 19:52:49,2020-06-17 14:47:05
67,pozoscanelones,tartagliaestefa,33,2020-06-16 19:52:49,2020-06-17 14:47:05
68,ysveliarteaga27,ernesto_talvi,34,2020-06-16 19:53:04,2020-06-17 14:47:05
69,coronavirusnewv,sinae_oficial,35,2020-06-16 19:56:46,2020-06-17 14:47:05
70,rmiglionico,leocipriani20,36,2020-06-16 19:59:51,2020-06-17 14:47:05
71,rmiglionico,assecomunica,36,2020-06-16 19:59:51,2020-06-17 14:47:05
72,rmiglionico,tartagliaestefa,36,2020-06-16 19:59:51,2020-06-17 14:47:05
73,difusionprohibi,difusionprohibi,37,2020-06-16 20:02:03,2020-06-17 14:47:05
74,danielibarburu,assecomunica,38,2020-06-16 20:03:56,2020-06-17 14:47:05
75,danielibarburu,tartagliaestefa,38,2020-06-16 20:03:56,2020-06-17 14:47:05
76,danielibarburu,leocipriani20,38,2020-06-16 20:03:56,2020-06-17 14:47:05
77,lecv412,sinae_oficial,39,2020-06-16 20:04:39,2020-06-17 14:47:05
78,otro18demayo,leocipriani20,40,2020-06-16 20:08:16,2020-06-17 14:47:05
79,otro18demayo,assecomunica,40,2020-06-16 20:08:16,2020-06-17 14:47:05
80,otro18demayo,tartagliaestefa,40,2020-06-16 20:08:16,2020-06-17 14:47:05
81,lista_33,leocipriani20,41,2020-06-16 20:08:51,2020-06-17 14:47:05
82,lista_33,assecomunica,41,2020-06-16 20:08:51,2020-06-17 14:47:05
83,lista_33,tartagliaestefa,41,2020-06-16 20:08:51,2020-06-17 14:47:05
84,mujerespn,leocipriani20,42,2020-06-16 20:09:43,2020-06-17 14:47:05
85,mujerespn,assecomunica,42,2020-06-16 20:09:43,2020-06-17 14:47:05
86,mujerespn,tartagliaestefa,42,2020-06-16 20:09:43,2020-06-17 14:47:05
87,lavozdetodasuy,leocipriani20,43,2020-06-16 20:10:22,2020-06-17 14:47:05
88,lavozdetodasuy,assecomunica,43,2020-06-16 20:10:22,2020-06-17 14:47:05
89,lavozdetodasuy,tartagliaestefa,43,2020-06-16 20:10:22,2020-06-17 14:47:05
90,ruletadefamosos,ruletadefamosos,44,2020-06-16 20:12:27,2020-06-17 14:47:05
91,ruletadefamosos,misteatrerosmx,44,2020-06-16 20:12:27,2020-06-17 14:47:05
92,ruletadefamosos,eltonecastv,44,2020-06-16 20:12:27,2020-06-17 14:47:05
93,ruletadefamosos,emirsahibguru,44,2020-06-16 20:12:27,2020-06-17 14:47:05
94,ruletadefamosos,toninho_amigo,44,2020-06-16 20:12:27,2020-06-17 14:47:05
95,ruletadefamosos,severoneta,44,2020-06-16 20:12:27,2020-06-17 14:47:05
96,ruletadefamosos,estrellastreya2,44,2020-06-16 20:12:27,2020-06-17 14:47:05
97,cdanmatt,vtvnoticiasuy,45,2020-06-16 20:14:10,2020-06-17 14:47:05
98,cdanmatt,vtvuruguay,45,2020-06-16 20:14:10,2020-06-17 14:47:05
99,1967celeste,vtvnoticiasuy,46,2020-06-16 20:15:52,2020-06-17 14:47:05
100,1967celeste,vtvuruguay,46,2020-06-16 20:15:52,2020-06-17 14:47:05
101,radioworldsv,sinae_oficial,47,2020-06-16 20:17:02,2020-06-17 14:47:05
102,kevinroyk,belgrano,48,2020-06-16 20:25:39,2020-06-17 14:47:05
103,stephaniedowric,juliette_io,49,2020-06-16 20:29:24,2020-06-17 14:47:05
104,anitamariaan,cyrus_kuba,49,2020-06-16 20:29:24,2020-06-17 14:47:05
105,mangotree_books,juliette_io,50,2020-06-16 20:33:03,2020-06-17 14:47:05
106,dosapellidosxii,ejercito_arg,51,2020-06-16 20:39:53,2020-06-17 14:47:05
107,dosapellidosxii,exercitooficial,51,2020-06-16 20:39:53,2020-06-17 14:47:05
108,dosapellidosxii,pontifex_es,51,2020-06-16 20:39:53,2020-06-17 14:47:05
109,dosapellidosxii,casareal,51,2020-06-16 20:39:53,2020-06-17 14:47:05
110,dosapellidosxii,embespisrael,51,2020-06-16 20:39:53,2020-06-17 14:47:05
111,almangopatriota,myfilmproject,52,2020-06-16 20:41:30,2020-06-17 14:47:05
112,1javiera,progresooficial,53,2020-06-16 20:50:44,2020-06-17 14:47:05
113,ernestocastella,vtvnoticiasuy,54,2020-06-16 20:51:52,2020-06-17 14:47:05
114,ernestocastella,vtvuruguay,54,2020-06-16 20:51:52,2020-06-17 14:47:05
115,mariu41maria,stemaggiolini8,55,2020-06-16 20:58:28,2020-06-17 14:47:05
116,jncauna,vtvnoticiasuy,56,2020-06-16 20:59:52,2020-06-17 14:47:05
117,jncauna,vtvuruguay,56,2020-06-16 20:59:52,2020-06-17 14:47:05
118,veinssebastian,vtvnoticiasuy,57,2020-06-16 21:00:10,2020-06-17 14:47:05
119,veinssebastian,vtvuruguay,57,2020-06-16 21:00:10,2020-06-17 14:47:05
120,adriantomasina,vtvnoticiasuy,58,2020-06-16 21:01:59,2020-06-17 14:47:05
121,adriantomasina,vtvuruguay,58,2020-06-16 21:01:59,2020-06-17 14:47:05
122,gmachad43567414,leocipriani20,59,2020-06-16 21:02:39,2020-06-17 14:47:05
123,gmachad43567414,assecomunica,59,2020-06-16 21:02:39,2020-06-17 14:47:05
124,gmachad43567414,tartagliaestefa,59,2020-06-16 21:02:39,2020-06-17 14:47:05
125,maxiborgesok,sup_uruguay,60,2020-06-16 21:12:01,2020-06-17 14:47:05
126,clickpoker,sinae_oficial,61,2020-06-16 21:12:52,2020-06-17 14:47:05
127,oscardcl,leocipriani20,62,2020-06-16 21:16:48,2020-06-17 14:47:05
128,oscardcl,assecomunica,62,2020-06-16 21:16:48,2020-06-17 14:47:05
129,oscardcl,tartagliaestefa,62,2020-06-16 21:16:48,2020-06-17 14:47:05
130,danballejo,vtvnoticiasuy,63,2020-06-16 21:28:39,2020-06-17 14:47:05
131,danballejo,vtvuruguay,63,2020-06-16 21:28:39,2020-06-17 14:47:05
132,aliviera33,vtvnoticiasuy,64,2020-06-16 21:29:26,2020-06-17 14:47:05
133,aliviera33,vtvuruguay,64,2020-06-16 21:29:26,2020-06-17 14:47:05
134,coqui1980,vtvnoticiasuy,65,2020-06-16 21:29:41,2020-06-17 14:47:05
135,coqui1980,vtvuruguay,65,2020-06-16 21:29:41,2020-06-17 14:47:05
136,laflora9,vtvuruguay,66,2020-06-16 21:30:45,2020-06-17 14:47:05
137,laflora9,vtvnoticiasuy,66,2020-06-16 21:30:45,2020-06-17 14:47:05
138,vicenteplatafao,jberdeguefao,67,2020-06-16 21:30:59,2020-06-17 14:47:05
139,vicenteplatafao,cepal_onu,67,2020-06-16 21:30:59,2020-06-17 14:47:05
140,vicenteplatafao,aliciabarcena,67,2020-06-16 21:30:59,2020-06-17 14:47:05
141,vicenteplatafao,faoamericas,67,2020-06-16 21:30:59,2020-06-17 14:47:05
142,faouruguay,sup_uruguay,68,2020-06-16 21:37:31,2020-06-17 14:47:05
143,aibexint,faoamericas,69,2020-06-16 21:39:22,2020-06-17 14:47:05
144,aibexint,jberdeguefao,69,2020-06-16 21:39:22,2020-06-17 14:47:05
145,aibexint,cepal_onu,69,2020-06-16 21:39:22,2020-06-17 14:47:05
146,aibexint,aliciabarcena,69,2020-06-16 21:39:22,2020-06-17 14:47:05
147,ale_sclavo,vtvnoticiasuy,70,2020-06-16 21:40:15,2020-06-17 14:47:05
148,ale_sclavo,vtvuruguay,70,2020-06-16 21:40:15,2020-06-17 14:47:05
149,qvquovadis55,vtvnoticiasuy,71,2020-06-16 21:46:44,2020-06-17 14:47:05
150,qvquovadis55,vtvuruguay,71,2020-06-16 21:46:44,2020-06-17 14:47:05
151,marinadavel,buquebus_ar,72,2020-06-16 21:46:54,2020-06-17 14:47:05
152,verodianeth,sinae_oficial,73,2020-06-16 21:48:01,2020-06-17 14:47:05
153,climauy,uruguaypostales,74,2020-06-16 21:50:16,2020-06-17 14:47:05
154,climauy,meteorologiauy,74,2020-06-16 21:50:16,2020-06-17 14:47:05
155,climauy,wmo,74,2020-06-16 21:50:16,2020-06-17 14:47:05
156,climauy,destinopiria,74,2020-06-16 21:50:16,2020-06-17 14:47:05
157,climauy,meteonacho,74,2020-06-16 21:50:16,2020-06-17 14:47:05
158,climauy,boleadorcharrua,74,2020-06-16 21:50:16,2020-06-17 14:47:05
159,climauy,meteofedex,74,2020-06-16 21:50:16,2020-06-17 14:47:05
160,climauy,puntadelestes,74,2020-06-16 21:50:16,2020-06-17 14:47:05
161,climauy,metsul,74,2020-06-16 21:50:16,2020-06-17 14:47:05
162,climauy,uruguay_natural,74,2020-06-16 21:50:16,2020-06-17 14:47:05
163,climauy,estacion_bcp,74,2020-06-16 21:50:16,2020-06-17 14:47:05
164,climauy,metfloridauy,74,2020-06-16 21:50:16,2020-06-17 14:47:05
165,jorgito91501290,tartagliaestefa,75,2020-06-16 21:52:03,2020-06-17 14:47:05
166,jorgito91501290,leocipriani20,75,2020-06-16 21:52:03,2020-06-17 14:47:05
167,jorgito91501290,assecomunica,75,2020-06-16 21:52:03,2020-06-17 14:47:05
168,minimalmambo,diego_matturro,76,2020-06-16 22:00:14,2020-06-17 14:47:05
169,minimalmambo,la_tabare,76,2020-06-16 22:00:14,2020-06-17 14:47:05
170,minimalmambo,ntvgoficial,76,2020-06-16 22:00:14,2020-06-17 14:47:05
171,minimalmambo,oohuooh,76,2020-06-16 22:00:14,2020-06-17 14:47:05
172,minimalmambo,buceoinvisible,76,2020-06-16 22:00:14,2020-06-17 14:47:05
173,minimalmambo,spuntonemendaro,76,2020-06-16 22:00:14,2020-06-17 14:47:05
174,minimalmambo,saladosbanda,76,2020-06-16 22:00:14,2020-06-17 14:47:05
175,minimalmambo,ninalobouy,76,2020-06-16 22:00:14,2020-06-17 14:47:05
176,minimalmambo,rossanataddei,76,2020-06-16 22:00:14,2020-06-17 14:47:05
177,minimalmambo,samamusica,76,2020-06-16 22:00:14,2020-06-17 14:47:05
178,minimalmambo,trotskyvengaran,76,2020-06-16 22:00:14,2020-06-17 14:47:05
179,minimalmambo,reytorouy,76,2020-06-16 22:00:14,2020-06-17 14:47:05
180,minimalmambo,buitresok,76,2020-06-16 22:00:14,2020-06-17 14:47:05
181,minimalmambo,hpleuy,76,2020-06-16 22:00:14,2020-06-17 14:47:05
182,minimalmambo,losprolijos,76,2020-06-16 22:00:14,2020-06-17 14:47:05
183,milagro_pau,redes_at,77,2020-06-16 22:00:22,2020-06-17 14:47:05
184,patrici32897265,sup_uruguay,78,2020-06-16 22:00:54,2020-06-17 14:47:05
185,avionesenezeiza,rafbrizenorton,79,2020-06-16 22:03:37,2020-06-17 14:47:05
186,dcapola,youtube,80,2020-06-16 22:03:51,2020-06-17 14:47:05
187,rosannacaputi,vtvnoticiasuy,81,2020-06-16 22:04:46,2020-06-17 14:47:05
188,rosannacaputi,vtvuruguay,81,2020-06-16 22:04:46,2020-06-17 14:47:05
189,sasovskyasoc,iprofesional,82,2020-06-16 22:05:38,2020-06-17 14:47:05
190,sasovskyasoc,ivansasovsky,82,2020-06-16 22:05:38,2020-06-17 14:47:05
191,corporatedjlg,rafbrizenorton,83,2020-06-16 22:05:49,2020-06-17 14:47:05
192,mrtoro07,rafbrizenorton,84,2020-06-16 22:06:50,2020-06-17 14:47:05
193,danielabrandon,redes_at,85,2020-06-16 22:09:11,2020-06-17 14:47:05
194,jorgejorgeggp,rafbrizenorton,86,2020-06-16 22:10:58,2020-06-17 14:47:05
195,la_nola7,telemundouy,87,2020-06-16 22:15:34,2020-06-17 14:47:05
196,pabloapostolu4,rafbrizenorton,88,2020-06-16 22:16:22,2020-06-17 14:47:05
197,perrobanquetero,_narellano,89,2020-06-16 22:17:12,2020-06-17 14:47:05
198,fitzgeraldcp78,vtvuruguay,90,2020-06-16 22:17:15,2020-06-17 14:47:05
199,fitzgeraldcp78,vtvnoticiasuy,90,2020-06-16 22:17:15,2020-06-17 14:47:05
200,juanbla2000,rafbrizenorton,91,2020-06-16 22:18:01,2020-06-17 14:47:05
201,cosella_diana,rafbrizenorton,92,2020-06-16 22:18:11,2020-06-17 14:47:05
202,thisissanty,vtvnoticiasuy,93,2020-06-16 22:18:28,2020-06-17 14:47:05
203,thisissanty,vtvuruguay,93,2020-06-16 22:18:28,2020-06-17 14:47:05
204,tjuanpex,vtvnoticiasuy,94,2020-06-16 22:20:46,2020-06-17 14:47:05
